task_family,dataset,agent_model,method,ppo_used,cs,ca,metric,optimizer_name,metaprompt_style,num_fewshot,top_k,top_k_prompts,valset_size,num_iterations,total_iterations,epochs,train_size,batch_size,prompt_per_example,global_step,final_score,rollouts,rollouts_budget,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd,runtime_mins,seed,project,run_name,run_id
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-2b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,93.75,,,20.0,,,,,9.42,,II,active_to_passive,drcllx9u
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,99.0,,,20.0,,,,,19.23,,II_re_correct,active_to_passive,5vevj02y
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,100.0,,,20.0,,,,,17.63,,II_re,active_to_passive,p7hinoos
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,,,,,1.0,,,,,30.0,32.0,16.0,4.0,59.0,100.0,3840.0,,100.0,,,,,7.25,3.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3,fyfy2gnl
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,,,,,1.0,,,,,30.0,32.0,16.0,4.0,59.0,100.0,3840.0,,100.0,,,,,6.5,3.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re,e2aq8jh5
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,em,,,,1.0,,,,,30.0,32.0,16.0,4.0,59.0,100.0,3840.0,,100.0,,,,,7.23,6.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6,rq1768pz
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,em,,,,1.0,,,,,100.0,32.0,16.0,4.0,199.0,98.0,12800.0,,100.0,,,,,38.22,6.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6,1zp7vl6s
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,em,,,,1.0,,,,,200.0,32.0,16.0,4.0,399.0,99.0,25600.0,,100.0,,,,,74.88,6.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6,xwgposix
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,,,,,1.0,,,,,30.0,,16.0,4.0,59.0,99.0,3840.0,,,,,,,7.4,42.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42,ij8svrex
BBH-II,ANTONYMS,google/gemma-1.1-2b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,25.0,,,20.0,,,,,10.55,,II,antonyms,7xauif7v
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,77.0,,,20.0,,,,,16.03,,II_re_correct,antonyms,23mhm43m
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,75.0,,,20.0,,,,,15.07,,II_re,antonyms,s2cbw413
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,16.0,4.0,,81.25,,,20.0,,,,,15.38,,II_re,antonyms,6sd1v8gs
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,,,,,1.0,,,,,30.0,32.0,16.0,4.0,59.0,72.0,3840.0,,100.0,,,,,7.4,3.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3,kobihwdb
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,StablePrompt-PPO,True,,,,,,,1.0,,,,,30.0,32.0,16.0,4.0,59.0,68.75,3840.0,,100.0,,,,,6.47,3.0,GFB_II,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re,t3p5qnyz
