task_family,dataset,agent_model,method,n_runs,final_score_mean,final_score_std,rollouts_mean,rollouts_budget_mean,test_size_mean,real_cost_usd_mean,estimated_cost_usd_mean,runtime_mins_mean,input_tokens_mean,output_tokens_mean
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-2b-it,AlgPrompt,1,93.75,,,,20.0,,,9.42,,
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,AlgPrompt,2,99.5,0.7071067811865476,,,20.0,,,18.43,,
BBH-II,ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,6,99.33333333333333,0.8164965809277275,8960.0,,100.0,,,23.58,,
BBH-II,ANTONYMS,google/gemma-1.1-2b-it,AlgPrompt,1,25.0,,,,20.0,,,10.55,,
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,AlgPrompt,3,77.75,3.191786333700926,,,20.0,,,15.493333333333334,,
BBH-II,ANTONYMS,google/gemma-1.1-7b-it,StablePrompt-PPO,6,70.45833333333333,2.1119698545828407,8960.0,,100.0,,,23.67833333333333,,
BBH-II,CAUSE_AND_EFFECT,google/gemma-1.1-2b-it,AlgPrompt,1,70.0,,,,20.0,,,9.95,,
BBH-II,CAUSE_AND_EFFECT,google/gemma-1.1-7b-it,AlgPrompt,2,65.0,7.0710678118654755,,,20.0,,,18.16,,
BBH-II,CAUSE_AND_EFFECT,google/gemma-1.1-7b-it,StablePrompt-PPO,6,52.0,9.797958971132713,8960.0,,25.0,,,23.218333333333334,,
BBH-II,COMMON_CONCEPT,google/gemma-1.1-2b-it,AlgPrompt,1,50.0,,,,20.0,,,8.28,,
BBH-II,COMMON_CONCEPT,google/gemma-1.1-7b-it,AlgPrompt,2,33.43749999999999,23.42291212680439,,,20.0,,,17.41,,
BBH-II,COMMON_CONCEPT,google/gemma-1.1-7b-it,StablePrompt-PPO,6,22.395833333333325,13.523224621615467,8960.0,,16.0,,,21.42833333333333,,
BBH-II,DIFF,google/gemma-1.1-2b-it,AlgPrompt,1,100.0,,,,20.0,,,9.85,,
BBH-II,DIFF,google/gemma-1.1-7b-it,AlgPrompt,2,51.0,69.29646455628166,,,20.0,,,16.825,,
BBH-II,DIFF,google/gemma-1.1-7b-it,StablePrompt-PPO,6,18.333333333333332,40.00833246545858,8960.0,,100.0,,,23.343333333333334,,
BBH-II,DISAMBIGUATION_QA,Qwen/Qwen3-0.6B-Base,AlgPrompt,1,42.9824560880661,,,,20.0,,,7.5,,
BBH-II,DISAMBIGUATION_QA,google/gemma-1.1-7b-it,AlgPrompt,2,65.35087823867798,0.0,,,20.0,,,6.449999999999999,,
BBH-II,EPISTEMIC_REASONING,Qwen/Qwen3-0.6B-Base,AlgPrompt,1,49.94923770427704,,,,20.0,,,13.25,,
BBH-II,EPISTEMIC_REASONING,google/gemma-1.1-7b-it,AlgPrompt,2,57.512688636779785,6.8915997874103265,,,20.0,,,10.489999999999998,,
BBH-II,FIRST_WORD_LETTER,google/gemma-1.1-2b-it,AlgPrompt,1,50.0,,,,20.0,,,9.93,,
BBH-II,FIRST_WORD_LETTER,google/gemma-1.1-7b-it,AlgPrompt,2,98.5,2.1213203435596424,,,20.0,,,15.84,,
BBH-II,FIRST_WORD_LETTER,google/gemma-1.1-7b-it,StablePrompt-PPO,6,92.125,3.5768351932958815,8960.0,,100.0,,,23.03833333333333,,
BBH-II,GENDER_INCLUSIVE_SENTENCES_GERMAN,google/gemma-1.1-7b-it,AlgPrompt,1,91.085576597706,,,,20.0,,,19.1,,
BBH-II,HYPERBATON,google/gemma-1.1-7b-it,AlgPrompt,2,74.65178966522217,2.024953766075606,,,20.0,,,106.50999999999999,,
BBH-II,IMPLICATURES,google/gemma-1.1-7b-it,AlgPrompt,1,82.6839804649353,,,,20.0,,,6.82,,
BBH-II,INFORMAL_TO_FORMAL,google/gemma-1.1-2b-it,AlgPrompt,1,44.09624253741901,,,,20.0,,,5.6,,
BBH-II,INFORMAL_TO_FORMAL,google/gemma-1.1-7b-it,AlgPrompt,2,44.34947193615925,8.482831369386117,,,20.0,,,10.025,,
BBH-II,INFORMAL_TO_FORMAL,google/gemma-1.1-7b-it,StablePrompt-PPO,6,41.11038940228826,5.736283294340207,4480.0,,15.0,,,11.858333333333334,,
BBH-II,LARGER_ANIMAL,google/gemma-1.1-2b-it,AlgPrompt,1,37.5,,,,20.0,,,7.97,,
BBH-II,LARGER_ANIMAL,google/gemma-1.1-7b-it,AlgPrompt,2,86.875,9.722718241315029,,,20.0,,,14.844999999999999,,
BBH-II,LARGER_ANIMAL,google/gemma-1.1-7b-it,StablePrompt-PPO,6,78.95833333333333,13.480000618199789,8960.0,,100.0,,,22.81833333333333,,
BBH-II,LETTERS_LIST,google/gemma-1.1-2b-it,AlgPrompt,1,50.0,,,,20.0,,,10.62,,
BBH-II,LETTERS_LIST,google/gemma-1.1-7b-it,AlgPrompt,2,81.375,17.50089283436705,,,20.0,,,15.865,,
BBH-II,LETTERS_LIST,google/gemma-1.1-7b-it,StablePrompt-PPO,6,60.541666666666664,9.667492780792065,8960.0,,100.0,,,23.05666666666666,,
BBH-II,LOGICAL_FALLACY_DETECTION,google/gemma-1.1-7b-it,AlgPrompt,1,53.21299433708191,,,,20.0,,,11.87,,
BBH-II,MOVIE_RECOMMENDATION,google/gemma-1.1-7b-it,AlgPrompt,1,63.82978558540344,,,,20.0,,,7.47,,
BBH-II,NAVIGATE,google/gemma-1.1-7b-it,AlgPrompt,1,51.54638886451721,,,,20.0,,,8.0,,
BBH-II,NEGATION,google/gemma-1.1-2b-it,AlgPrompt,1,18.75,,,,20.0,,,10.07,,
BBH-II,NEGATION,google/gemma-1.1-7b-it,AlgPrompt,2,74.0,1.4142135623730951,,,20.0,,,20.035,,
BBH-II,NEGATION,google/gemma-1.1-7b-it,StablePrompt-PPO,6,75.95833333333333,4.723390378389939,8960.0,,100.0,,,24.218333333333334,,
BBH-II,NUM_TO_VERBAL,google/gemma-1.1-2b-it,AlgPrompt,1,62.5,,,,20.0,,,9.97,,
BBH-II,NUM_TO_VERBAL,google/gemma-1.1-7b-it,AlgPrompt,2,75.75,16.617009357883866,,,20.0,,,15.315000000000001,,
BBH-II,NUM_TO_VERBAL,google/gemma-1.1-7b-it,StablePrompt-PPO,6,68.58333333333333,14.242249354180915,8960.0,,100.0,,,22.55666666666667,,
BBH-II,OBJECT_COUNTING,google/gemma-1.1-7b-it,AlgPrompt,1,50.0,,,,20.0,,,15.87,,
BBH-II,OPERATORS,google/gemma-1.1-7b-it,AlgPrompt,1,50.0,,,,20.0,,,20.33,,
BBH-II,ORTHOGRAPHY_STARTS_WITH,google/gemma-1.1-2b-it,AlgPrompt,1,12.5,,,,20.0,,,9.13,,
BBH-II,ORTHOGRAPHY_STARTS_WITH,google/gemma-1.1-7b-it,AlgPrompt,2,17.0,11.313708498984761,,,20.0,,,17.55,,
BBH-II,ORTHOGRAPHY_STARTS_WITH,google/gemma-1.1-7b-it,StablePrompt-PPO,6,21.375,8.126730584927742,8960.0,,100.0,,,24.291666666666668,,
BBH-II,RHYMES,google/gemma-1.1-2b-it,AlgPrompt,1,12.5,,,,20.0,,,10.2,,
BBH-II,RHYMES,google/gemma-1.1-7b-it,AlgPrompt,2,7.125,1.2374368670764582,,,20.0,,,17.735,,
BBH-II,RHYMES,google/gemma-1.1-7b-it,StablePrompt-PPO,5,6.3,4.604345773288535,5632.0,,100.0,,,13.216,,
BBH-II,RUIN_NAMES,google/gemma-1.1-7b-it,AlgPrompt,1,28.46890091896057,,,,20.0,,,6.62,,
BBH-II,SECOND_WORD_LETTER,google/gemma-1.1-2b-it,AlgPrompt,1,25.0,,,,20.0,,,9.95,,
BBH-II,SECOND_WORD_LETTER,google/gemma-1.1-7b-it,AlgPrompt,2,20.5,6.363961030678928,,,20.0,,,15.885000000000002,,
BBH-II,SECOND_WORD_LETTER,google/gemma-1.1-7b-it,StablePrompt-PPO,6,14.79166666666667,1.9391793797033485,8960.0,,100.0,,,23.05333333333333,,
BBH-II,SENTENCE_SIMILARITY,google/gemma-1.1-2b-it,AlgPrompt,1,31.25,,,,20.0,,,9.92,,
BBH-II,SENTENCE_SIMILARITY,google/gemma-1.1-7b-it,AlgPrompt,2,33.75,5.303300858899107,,,20.0,,,19.365000000000002,,
BBH-II,SENTENCE_SIMILARITY,google/gemma-1.1-7b-it,StablePrompt-PPO,6,27.375,3.666571968474095,8960.0,,100.0,,,24.958333333333332,,
BBH-II,SENTIMENT,google/gemma-1.1-2b-it,AlgPrompt,1,75.0,,,,20.0,,,9.53,,
BBH-II,SENTIMENT,google/gemma-1.1-7b-it,AlgPrompt,2,92.0,11.313708498984761,,,20.0,,,18.825,,
BBH-II,SENTIMENT,google/gemma-1.1-7b-it,StablePrompt-PPO,6,89.33333333333333,5.27888877195444,8960.0,,100.0,,,24.151666666666667,,
BBH-II,SINGULAR_TO_PLURAL,google/gemma-1.1-2b-it,AlgPrompt,1,37.5,,,,20.0,,,9.85,,
