fspo_run_id,fspo_run_name,fspo_project,model_norm,start,end,n_fspo_overlaps,n_non_fspo_overlaps,non_fspo_overlap_ids,non_fspo_overlap_names,non_fspo_overlap_projects
trvbqp3c,hotpot_qwen_subset50_20iter,hotpotqa-dynamic-fewshot,qwen3-8b,2026-05-14 15:29:08+00:00,2026-05-14 19:12:48.800000+00:00,0,0,,,
ssdrk8c5,hotpot_gpt_subset50_20iter,hotpotqa-dynamic-fewshot,gpt-4o-mini,2026-05-15 02:38:47+00:00,2026-05-15 03:12:45.200000+00:00,0,0,,,
89wk61np,hotpot_gpt_subset50_20iter,hotpotqa-dynamic-fewshot,gpt-4.1-mini,2026-05-15 04:45:06+00:00,2026-05-15 07:02:12+00:00,0,0,,,
3y0tizlv,pupa_qwen_nobase_dual_20iter,pupa-dynamic-fewshot-origin,qwen3-8b,2026-05-14 09:05:30+00:00,2026-05-14 11:39:15+00:00,2,0,,,
n7o1crf6,pupa_qwen_nobase_subset45_20iter,pupa-dynamic-fewshot-origin,qwen3-8b,2026-05-14 09:18:11+00:00,2026-05-14 11:31:23+00:00,2,0,,,
tituojj7,pupa_qwen_nobase_subset45_20iter,pupa-dynamic-fewshot-origin,qwen3-8b,2026-05-14 09:27:06+00:00,2026-05-14 11:35:30+00:00,2,0,,,
lxu11kps,pupa_gpt_nobase_subset45_20iter,pupa-dynamic-fewshot-origin,gpt-4o-mini,2026-05-14 12:31:29+00:00,2026-05-14 13:07:59+00:00,1,0,,,
8w0rp3f1,pupa_gpt_nobase_subset45_20iter,pupa-dynamic-fewshot-origin,gpt-4o-mini,2026-05-14 12:37:37+00:00,2026-05-14 13:12:49+00:00,1,0,,,
p16uyuga,pupa_gpt_nobase_subset45_20iter,pupa-dynamic-fewshot-origin,gpt-4.1-mini,2026-05-14 13:18:10+00:00,2026-05-14 14:18:23.200000+00:00,0,0,,,
wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,hover-dynamic-fewshot,gpt-4.1-mini,2026-05-03 12:16:48+00:00,2026-05-03 12:48:16.800000+00:00,0,0,,,
aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,hover-dynamic-fewshot,qwen3-8b,2026-05-03 12:48:57+00:00,2026-05-03 14:00:30+00:00,1,0,,,
9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,ifbench-dynamic-fewshot,qwen3-8b,2026-05-02 03:20:08+00:00,2026-05-02 07:40:11+00:00,1,0,,,
w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,ifbench-dynamic-fewshot,gpt-4.1-mini,2026-05-02 03:20:08+00:00,2026-05-02 04:20:39.200000+00:00,0,0,,,
8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,ifbench-dynamic-fewshot,qwen3-8b,2026-05-02 16:15:27+00:00,2026-05-02 19:40:39+00:00,1,0,,,
r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,ifbench-dynamic-fewshot,qwen3-8b,2026-05-02 16:39:02+00:00,2026-05-03 04:28:41+00:00,1,0,,,
0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,ifbench-dynamic-fewshot,gpt-4.1-mini,2026-05-02 16:39:05+00:00,2026-05-02 19:16:35+00:00,0,0,,,
bfmewlrg,dynamic_fewshot_qwen3_8b_20iter_3shot,ifbench-dynamic-fewshot,qwen3-8b,2026-05-03 10:55:19+00:00,2026-05-03 16:35:47.200000+00:00,1,0,,,
oz2skszd,dynamic_fewshot_gpt41mini_20iter_3shot,ifbench-dynamic-fewshot,gpt-4.1-mini,2026-05-03 10:55:22+00:00,2026-05-03 12:16:38.200000+00:00,0,0,,,
b6iz2dax,dynamic_fewshot_20iter_3shot,livebench-math-dynamic-fewshot,qwen3-8b,2026-04-25 03:33:40+00:00,2026-04-25 10:34:10+00:00,0,0,,,
fm6705r5,dynamic_fewshot_20iter_3shot,livebench-math-dynamic-fewshot,gpt-4.1-mini,2026-04-27 08:24:39+00:00,2026-04-27 08:34:55.800000+00:00,1,0,,,
kcqy5zvi,dynamic_fewshot_20iter_3shot,livebench-math-dynamic-fewshot,gpt-4.1-mini,2026-04-27 08:26:06+00:00,2026-04-27 08:34:03+00:00,1,0,,,
