confidence,project,task,model_short,run_id,run_name,matched_requests,input_tokens,output_tokens,cost_usd,wandb_input_tokens,wandb_output_tokens,wandb_cost_usd,n_api_keys,top_api_key,top_key_request_frac,expected_key_request_frac,n_fspo_overlaps,n_non_fspo_overlaps,overlap_run_ids,non_fspo_overlap_ids,non_fspo_overlap_names,key_breakdown
B_same_task_key_mix,aime-math-dynamic-fewshot,AIME-2025,GPT-4.1-mini,mwjwwnoh,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,909,2209061,3649235,6.425326999999999,,,,2,AIME_MATH_FEWSHOT,0.5786578657865786,1.0,0,0,,,,"AIME_MATH_FEWSHOT:526 req,478141 in,2393076 out,$4.0176; AIMEgpt4.1mini:383 req,1730920 in,1256159 out,$2.4077"
C_overlap_same_model_non_fspo,aime-math-dynamic-fewshot,AIME-2025,GPT-4.1-mini,13xynbot,dynamic_fewshot_gpt41mini_20iter_3shot,1600,1097885,7054658,11.725662,,,,1,AIME_MATH_GPT41MINI,1.0,1.0,0,1,,4fx08hfi,litellm_v2_gpt41mini_20iter_3shot,"AIME_MATH_GPT41MINI:1600 req,1097885 in,7054658 out,$11.7257"
A_clean_time_model,hotpotqa-dynamic-fewshot,HotpotQA,GPT-4.1-mini,89wk61np,hotpot_gpt_subset50_20iter,1083,824396,192609,0.6375139999999999,,,,1,project,1.0,0.0,0,0,,,,"project:1083 req,824396 in,192609 out,$0.6375"
A_clean_time_model,hover-dynamic-fewshot,Hover,GPT-4.1-mini,wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,3612,3088706,1245309,3.2265240000000004,,,,1,hover_fs,1.0,1.0,0,0,,,,"hover_fs:3612 req,3088706 in,1245309 out,$3.2265"
A_clean_time_model,ifbench-dynamic-fewshot,IFBench,GPT-4.1-mini,0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,1807,1044760,725433,1.577845,,,,1,ifbench-fewshot,1.0,1.0,0,0,,,,"ifbench-fewshot:1807 req,1044760 in,725433 out,$1.5778"
B_same_task_key_mix,ifbench-dynamic-fewshot,IFBench,GPT-4.1-mini,w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,4748,3161777,3010172,6.0790880000000005,,,,2,ifbench-fewshot,0.8761583824768323,1.0,0,0,,,,"ifbench-fewshot:4160 req,2947562 in,2759197 out,$5.5921; ifbench-base-feshot:588 req,214215 in,250975 out,$0.4870"
C_cross_task_key_mix,ifbench-dynamic-fewshot,IFBench,GPT-4.1-mini,oz2skszd,dynamic_fewshot_gpt41mini_20iter_3shot,3002,1661658,963566,2.205175,,,,2,ifbench-fewshot,0.600599600266489,0.600599600266489,0,0,,,,"ifbench-fewshot:1803 req,855671 in,730663 out,$1.5106; hover_fs_base:1199 req,805987 in,232903 out,$0.6946"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,GPT-4.1-mini,fm6705r5,dynamic_fewshot_20iter_3shot,569,611571,822675,1.560675,,,,2,gepa,0.5430579964850615,0.4569420035149384,1,0,kcqy5zvi,,,"gepa:309 req,273809 in,429815 out,$0.7971; LiveBenchMathBench-rp:260 req,337762 in,392860 out,$0.7636"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,GPT-4.1-mini,kcqy5zvi,dynamic_fewshot_20iter_3shot,530,568881,762352,1.447097,,,,2,gepa,0.5226415094339623,0.4773584905660377,1,0,fm6705r5,,,"gepa:277 req,248289 in,385411 out,$0.7159; LiveBenchMathBench-rp:253 req,320592 in,376941 out,$0.7312"
C_overlap_same_model_non_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,GPT-4.1-mini,h6lucked,dynamic_fewshot_20iter_3shot,2589,2043162,7556397,12.902624,,,,2,AIME4.1-loc,0.6272692159134801,0.0,0,2,,rw7cmqgu;4fx08hfi,litellm_gpt41mini_20iter_3shot;litellm_v2_gpt41mini_20iter_3shot,"AIME4.1-loc:1624 req,1328914 in,3477820 out,$6.0916; AIME_MATH_GPT41MINI:965 req,714248 in,4078577 out,$6.8110"
