project,run_id,run_name,runtime_mins,config_solver_model,config_benchmark_name,created_at,updated_at,state,error
hotpotqa-dynamic-fewshot,trvbqp3c,hotpot_qwen_subset50_20iter,223.68,openrouter/qwen/qwen3-8b,,2026-05-14T15:29:08Z,,finished,
hotpotqa-dynamic-fewshot,ssdrk8c5,hotpot_gpt_subset50_20iter,33.97,openrouter/openai/gpt-4o-mini,,2026-05-15T02:38:47Z,,finished,
hotpotqa-dynamic-fewshot,89wk61np,hotpot_gpt_subset50_20iter,137.1,openrouter/openai/gpt-4.1-mini,,2026-05-15T04:45:06Z,,finished,
pupa-dynamic-fewshot-origin,3y0tizlv,pupa_qwen_nobase_dual_20iter,153.75,openrouter/qwen/qwen3-8b,,2026-05-14T09:05:30Z,,finished,
pupa-dynamic-fewshot-origin,n7o1crf6,pupa_qwen_nobase_subset45_20iter,133.2,openrouter/qwen/qwen3-8b,,2026-05-14T09:18:11Z,,finished,
pupa-dynamic-fewshot-origin,tituojj7,pupa_qwen_nobase_subset45_20iter,128.4,openrouter/qwen/qwen3-8b,,2026-05-14T09:27:06Z,,finished,
pupa-dynamic-fewshot-origin,lxu11kps,pupa_gpt_nobase_subset45_20iter,36.5,openrouter/openai/gpt-4o-mini,,2026-05-14T12:31:29Z,,finished,
pupa-dynamic-fewshot-origin,8w0rp3f1,pupa_gpt_nobase_subset45_20iter,35.2,openrouter/openai/gpt-4o-mini,,2026-05-14T12:37:37Z,,finished,
pupa-dynamic-fewshot-origin,p16uyuga,pupa_gpt_nobase_subset45_20iter,60.22,openrouter/openai/gpt-4.1-mini,,2026-05-14T13:18:10Z,,finished,
hover-dynamic-fewshot,wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,31.48,openrouter/openai/gpt-4.1-mini,,2026-05-03T12:16:48Z,,finished,
hover-dynamic-fewshot,aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,71.55,openrouter/qwen/qwen3-8b,,2026-05-03T12:48:57Z,,finished,
ifbench-dynamic-fewshot,9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,260.05,openrouter/qwen/qwen3-8b,,2026-05-02T03:20:08Z,,finished,
ifbench-dynamic-fewshot,w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,60.52,openrouter/openai/gpt-4.1-mini,,2026-05-02T03:20:08Z,,finished,
ifbench-dynamic-fewshot,8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,205.2,openrouter/qwen/qwen3-8b,,2026-05-02T16:15:27Z,,finished,
ifbench-dynamic-fewshot,r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,709.65,openrouter/qwen/qwen3-8b,,2026-05-02T16:39:02Z,,finished,
ifbench-dynamic-fewshot,0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,157.5,openrouter/openai/gpt-4.1-mini,,2026-05-02T16:39:05Z,,finished,
ifbench-dynamic-fewshot,bfmewlrg,dynamic_fewshot_qwen3_8b_20iter_3shot,340.47,openrouter/qwen/qwen3-8b,,2026-05-03T10:55:19Z,,finished,
ifbench-dynamic-fewshot,oz2skszd,dynamic_fewshot_gpt41mini_20iter_3shot,81.27,openrouter/openai/gpt-4.1-mini,,2026-05-03T10:55:22Z,,finished,
livebench-math-dynamic-fewshot,b6iz2dax,dynamic_fewshot_20iter_3shot,420.5,openrouter/qwen/qwen3-8b,,2026-04-25T03:33:40Z,,finished,
livebench-math-dynamic-fewshot,fm6705r5,dynamic_fewshot_20iter_3shot,10.28,openrouter/openai/gpt-4.1-mini,,2026-04-27T08:24:39Z,,finished,
livebench-math-dynamic-fewshot,kcqy5zvi,dynamic_fewshot_20iter_3shot,7.95,openrouter/openai/gpt-4.1-mini,,2026-04-27T08:26:06Z,,finished,
livebench-math-dynamic-fewshot,h6lucked,dynamic_fewshot_20iter_3shot,57.83,openrouter/openai/gpt-4.1-mini,,2026-05-01T18:49:05Z,,finished,
livebench-math-dynamic-fewshot,7jl5dta0,dynamic_fewshot_20iter_3shot,268.75,openrouter/qwen/qwen3-8b,,2026-05-01T18:49:06Z,,finished,
livebench-math-dynamic-fewshot,prmdtdw1,dynamic_fewshot_2iter_3shot,3.33,openrouter/qwen/qwen3-8b,,2026-05-10T14:58:19Z,,finished,
livebench-math-dynamic-fewshot,gs527dox,dynamic_fewshot_20iter_3shot,27.0,openrouter/qwen/qwen3-8b,,2026-05-10T15:17:24Z,,finished,
livebench-math-dynamic-fewshot,xji9z2aa,dynamic_fewshot_20iter_3shot,27.37,openrouter/qwen/qwen3-8b,,2026-05-11T10:00:12Z,,finished,
livebench-math-dynamic-fewshot,f8p7kmt5,ablation_nofewshot_20iter,16.87,openrouter/qwen/qwen3-8b,,2026-05-11T10:01:40Z,,finished,
livebench-math-dynamic-fewshot,1fm6356x,ablation_nofewshot_20iter,21.23,openrouter/qwen/qwen3-8b,,2026-05-11T10:42:51Z,,finished,
livebench-math-dynamic-fewshot,qy66amuq,dynamic_fewshot_20iter_3shot,26.63,openrouter/qwen/qwen3-8b,,2026-05-11T10:42:51Z,,finished,
livebench-math-dynamic-fewshot,4436w5h5,dynamic_fewshot_20iter_3shot,44.27,openrouter/qwen/qwen3-8b,,2026-05-11T12:52:14Z,,finished,
aime-math-dynamic-fewshot,wmst5cop,dynamic_fewshot_20iter_3shot,49.35,openrouter/qwen/qwen3-8b,,2026-04-24T07:25:26Z,,finished,
aime-math-dynamic-fewshot,vwwcv2b0,dynamic_fewshot_20iter_3shot,2778.1,openrouter/qwen/qwen3-8b,,2026-04-30T13:10:58Z,,finished,
aime-math-dynamic-fewshot,13xynbot,dynamic_fewshot_gpt41mini_20iter_3shot,234.58,openrouter/openai/gpt-4.1-mini,,2026-05-01T20:33:27Z,,finished,
aime-math-dynamic-fewshot,8v2qjgrx,dspy_qwen3-8b_math-specific_fixed45val_20iter_3shot,3286.23,openrouter/qwen/qwen3-8b,,2026-05-03T16:57:17Z,,finished,
aime-math-dynamic-fewshot,bkpxngx5,dspy_qwen3-8b_math-specific_fixed15val_20iter_3shot,2642.2,openrouter/qwen/qwen3-8b,,2026-05-03T18:28:53Z,,finished,
aime-math-dynamic-fewshot,86zmx5b0,dspy_qwen3-8b_math-specific_fixed15val_nothink_20iter_3shot_top1,3475.43,openrouter/qwen/qwen3-8b,,2026-05-11T12:00:33Z,,finished,
aime-math-dynamic-fewshot,mwjwwnoh,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,105.97,openrouter/openai/gpt-4.1-mini,,2026-05-15T08:08:37Z,,finished,
