project,run_id,run_name,task,config_solver_model,runtime_mins,created_at,start,end,score_for_selection,overlap_count_same_model,overlap_run_ids
hotpotqa-dynamic-fewshot,trvbqp3c,hotpot_qwen_subset50_20iter,HotpotQA,openrouter/qwen/qwen3-8b,223.68,2026-05-14T15:29:08Z,2026-05-14 15:29:08+00:00,2026-05-14 19:12:48.800000+00:00,61.33,0,
hotpotqa-dynamic-fewshot,ssdrk8c5,hotpot_gpt_subset50_20iter,HotpotQA,openrouter/openai/gpt-4o-mini,33.97,2026-05-15T02:38:47Z,2026-05-15 02:38:47+00:00,2026-05-15 03:12:45.200000+00:00,29.67,0,
hotpotqa-dynamic-fewshot,89wk61np,hotpot_gpt_subset50_20iter,HotpotQA,openrouter/openai/gpt-4.1-mini,137.1,2026-05-15T04:45:06Z,2026-05-15 04:45:06+00:00,2026-05-15 07:02:12+00:00,59.0,0,
pupa-dynamic-fewshot-origin,3y0tizlv,pupa_qwen_nobase_dual_20iter,PUPA,openrouter/qwen/qwen3-8b,153.75,2026-05-14T09:05:30Z,2026-05-14 09:05:30+00:00,2026-05-14 11:39:15+00:00,85.52,2,n7o1crf6;tituojj7
pupa-dynamic-fewshot-origin,n7o1crf6,pupa_qwen_nobase_subset45_20iter,PUPA,openrouter/qwen/qwen3-8b,133.2,2026-05-14T09:18:11Z,2026-05-14 09:18:11+00:00,2026-05-14 11:31:23+00:00,90.02,2,3y0tizlv;tituojj7
pupa-dynamic-fewshot-origin,tituojj7,pupa_qwen_nobase_subset45_20iter,PUPA,openrouter/qwen/qwen3-8b,128.4,2026-05-14T09:27:06Z,2026-05-14 09:27:06+00:00,2026-05-14 11:35:30+00:00,85.76,2,3y0tizlv;n7o1crf6
pupa-dynamic-fewshot-origin,lxu11kps,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4o-mini,36.5,2026-05-14T12:31:29Z,2026-05-14 12:31:29+00:00,2026-05-14 13:07:59+00:00,87.77,1,8w0rp3f1
pupa-dynamic-fewshot-origin,8w0rp3f1,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4o-mini,35.2,2026-05-14T12:37:37Z,2026-05-14 12:37:37+00:00,2026-05-14 13:12:49+00:00,85.54,1,lxu11kps
pupa-dynamic-fewshot-origin,p16uyuga,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4.1-mini,60.22,2026-05-14T13:18:10Z,2026-05-14 13:18:10+00:00,2026-05-14 14:18:23.200000+00:00,94.09,0,
hover-dynamic-fewshot,wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,Hover,openrouter/openai/gpt-4.1-mini,31.48,2026-05-03T12:16:48Z,2026-05-03 12:16:48+00:00,2026-05-03 12:48:16.800000+00:00,0.4567,0,
hover-dynamic-fewshot,aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,Hover,openrouter/qwen/qwen3-8b,71.55,2026-05-03T12:48:57Z,2026-05-03 12:48:57+00:00,2026-05-03 14:00:30+00:00,0.44,1,bfmewlrg
ifbench-dynamic-fewshot,9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,260.05,2026-05-02T03:20:08Z,2026-05-02 03:20:08+00:00,2026-05-02 07:40:11+00:00,0.7193999999999999,1,vwwcv2b0
ifbench-dynamic-fewshot,w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,IFBench,openrouter/openai/gpt-4.1-mini,60.52,2026-05-02T03:20:08Z,2026-05-02 03:20:08+00:00,2026-05-02 04:20:39.200000+00:00,0.7585,0,
ifbench-dynamic-fewshot,8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,205.2,2026-05-02T16:15:27Z,2026-05-02 16:15:27+00:00,2026-05-02 19:40:39+00:00,0.4082,1,r9104ny9
ifbench-dynamic-fewshot,r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,709.65,2026-05-02T16:39:02Z,2026-05-02 16:39:02+00:00,2026-05-03 04:28:41+00:00,0.3895,1,8z2rfgr7
ifbench-dynamic-fewshot,0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,IFBench,openrouter/openai/gpt-4.1-mini,157.5,2026-05-02T16:39:05Z,2026-05-02 16:39:05+00:00,2026-05-02 19:16:35+00:00,0.5153,0,
