project,run_id,run_name,task,solver_model,input_tokens,output_tokens,total_tokens,input_key,output_key,total_key,error,estimated_cost_usd,model_short
hotpotqa-dynamic-fewshot,trvbqp3c,hotpot_qwen_subset50_20iter,HotpotQA,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
hotpotqa-dynamic-fewshot,ssdrk8c5,hotpot_gpt_subset50_20iter,HotpotQA,openrouter/openai/gpt-4o-mini,,,,,,,,,GPT-4o-mini
hotpotqa-dynamic-fewshot,89wk61np,hotpot_gpt_subset50_20iter,HotpotQA,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
pupa-dynamic-fewshot-origin,3y0tizlv,pupa_qwen_nobase_dual_20iter,PUPA,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
pupa-dynamic-fewshot-origin,n7o1crf6,pupa_qwen_nobase_subset45_20iter,PUPA,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
pupa-dynamic-fewshot-origin,tituojj7,pupa_qwen_nobase_subset45_20iter,PUPA,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
pupa-dynamic-fewshot-origin,lxu11kps,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4o-mini,,,,,,,,,GPT-4o-mini
pupa-dynamic-fewshot-origin,8w0rp3f1,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4o-mini,5096511.0,1402620.0,6499131.0,input_tokens_cumulative,output_tokens_cumulative,total_tokens_cumulative,,1.60604865,GPT-4o-mini
pupa-dynamic-fewshot-origin,p16uyuga,pupa_gpt_nobase_subset45_20iter,PUPA,openrouter/openai/gpt-4.1-mini,6325719.0,2018796.0,8344515.0,input_tokens_cumulative,output_tokens_cumulative,total_tokens_cumulative,,5.7603612,GPT-4.1-mini
hover-dynamic-fewshot,wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,Hover,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
hover-dynamic-fewshot,aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,Hover,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
ifbench-dynamic-fewshot,9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
