model,task,method,tm_w,tb_w,log2,rer,rcei
GPT,HotpotQA,MIPRO,55.54299999999999,1.419,5.290658607892971,29.577464788732392,5.590507152475626
GPT,HotpotQA,GEPAM,22.914,1.419,4.013282831283119,42.61345852895148,10.61810500789629
GPT,HotpotQA,GEPA,37.047000000000004,1.419,4.706410225878084,45.22691705790297,9.60964193244861
GPT,HotpotQA,FSPO,8.025333333333332,1.419,2.4996867266196205,35.83724569640063,14.3366948004977
GPT,IFBench,MIPRO,20.552000000000003,1.197,4.101783737957315,5.899363794100627,1.4382434986780912
GPT,IFBench,GEPAM,13.341,1.197,3.4783717531291622,2.621939464044726,0.7537835660279885
GPT,IFBench,GEPA,15.361999999999998,1.197,3.681870997352983,3.277424330055901,0.8901518636617493
GPT,IFBench,FSPO,5.591666666666667,1.197,2.22385520831025,6.554848660111816,2.9475159334192362
GPT,Hover,MIPRO,33.884,1.769,4.259598241468016,11.731188201776437,2.754059781406388
GPT,Hover,GEPAM,38.888999999999996,1.769,4.4583561843415875,14.529914529914532,3.2590295456755474
GPT,Hover,GEPA,44.181000000000004,1.769,4.642420120117903,15.652756829227425,3.371680378817136
GPT,Hover,FSPO,11.010666666666667,1.769,2.637895869764563,8.949220713926602,3.392560266120488
GPT,PUPA,MIPRO,14.131,0.8220000000000001,4.103581359486719,14.486711829077652,3.530260657702585
GPT,PUPA,GEPAM,13.935,0.8220000000000001,4.083430798309489,66.23241271495569,16.219795555829045
GPT,PUPA,GEPA,15.223,0.8220000000000001,4.210970494960624,48.41063053673785,11.496311977172978
GPT,PUPA,FSPO,15.396,0.8220000000000001,4.227273372129156,69.20270974465869,16.37053099071359
GPT,AIME-2025,MIPRO,22.62,0.35,6.014100197044854,11.116666666666669,1.8484338974147887
GPT,AIME-2025,GEPAM,41.301,0.35,6.8826779810222565,11.116666666666669,1.61516588416876
GPT,AIME-2025,GEPA,43.269,0.35,6.949835046398996,13.333333333333334,1.9185107623873603
GPT,AIME-2025,FSPO,17.535333333333334,0.35,5.646766123102609,13.333333333333334,2.361233499433008
GPT,LiveBench-Math,MIPRO,15.906999999999998,0.8200000000000001,4.277894054542175,3.3936651583710407,0.793302759512644
GPT,LiveBench-Math,GEPAM,14.016,0.8200000000000001,4.095306960095727,12.081447963800912,2.950071406495622
GPT,LiveBench-Math,GEPA,15.09,0.8200000000000001,4.2018250859086,19.027149321266958,4.52830589856706
GPT,LiveBench-Math,FSPO,8.620000000000001,0.8200000000000001,3.3939920544710143,8.416289592760194,2.4797611360560334
