agent_model,dataset,method,input_tokens,output_tokens,rollouts,estimated_cost_usd
GPT-4.1-mini,AIME-2025,Baseline,5848.5,85752.5,,0.052328775
GPT-4.1-mini,AIME-2025,FSPO,,,320.0,
GPT-4.1-mini,AIME-2025,GEPA,4900408.0,9591800.0,2000.0,6.490141199999999
GPT-4.1-mini,AIME-2025,GEPA-MERGE,4421762.5,9220144.5,,6.195351075
GPT-4.1-mini,AIME-2025,MIPROv2-Heavy,6405702.0,4502816.5,,3.6625451999999994
GPT-4.1-mini,HOTPOTQA,Baseline,771330.0,161929.0,,0.21285689999999996
GPT-4.1-mini,HOTPOTQA,FSPO,,,320.0,
GPT-4.1-mini,HOVER,Baseline,824938.0,236463.0,,0.2656185
GPT-4.1-mini,HOVER,FSPO,,,320.0,
GPT-4.1-mini,HOVER,GEPA,23444957.5,5183510.0,2000.0,6.626849625
GPT-4.1-mini,HOVER,GEPA-MERGE,21073676.5,4453260.5,,5.833007775
GPT-4.1-mini,HOVER,MIPROv2-Heavy,21979584.0,2975930.0,,5.0824956
GPT-4.1-mini,IFBENCH,Baseline,217107.0,244505.0,,0.17926904999999999
GPT-4.1-mini,IFBENCH,FSPO,,,320.0,
GPT-4.1-mini,IFBENCH,GEPA,5538588.0,2456765.0,2000.0,2.3048471999999998
GPT-4.1-mini,IFBENCH,GEPA-MERGE,4665494.0,2168727.0,,2.0010603
GPT-4.1-mini,IFBENCH,MIPROv2-Heavy,9327210.0,2805191.0,,3.0821961
GPT-4.1-mini,LIVEBENCH-MATH,FSPO,,,320.0,
GPT-4.1-mini,LIVEBENCH-MATH,GEPA,2861713.0,3056794.0,2000.0,2.26333335
GPT-4.1-mini,LIVEBENCH-MATH,GEPA-MERGE,2708440.0,2826589.0,,2.1022193999999996
GPT-4.1-mini,PUPA,Baseline,293971.0,132112.0,,0.12336285
GPT-4.1-mini,PUPA,FSPO,6325719.0,2018796.0,320.0,2.1601354500000003
GPT-4.1-mini,PUPA,GEPA,6746833.0,2119831.0,2000.0,2.28392355
GPT-4.1-mini,PUPA,GEPA-MERGE,6183171.0,1938820.0,,2.09076765
GPT-4.1-mini,PUPA,MIPROv2-Heavy,8135085.0,1498755.0,,2.11951575
Qwen3-8B,AIME-2025,Baseline,25944.0,1375227.0,,0.8290278
Qwen3-8B,AIME-2025,FSPO,,,320.0,
Qwen3-8B,AIME-2025,MIPROv2-Heavy,2331238.0,17915438.0,,11.0989485
Qwen3-8B,HOTPOTQA,FSPO,,,320.0,
Qwen3-8B,HOVER,FSPO,,,320.0,
Qwen3-8B,IFBENCH,FSPO,,,320.0,
Qwen3-8B,LIVEBENCH-MATH,Baseline,57834.166666666664,453298.5,,0.280654225
Qwen3-8B,LIVEBENCH-MATH,FSPO,,,320.0,
Qwen3-8B,LIVEBENCH-MATH,GEPA,2886253.0,10101248.5,2000.0,6.49368705
Qwen3-8B,LIVEBENCH-MATH,GEPA-MERGE,2287493.0,10426812.0,,6.59921115
Qwen3-8B,LIVEBENCH-MATH,MIPROv2-Heavy,5166492.0,7510002.5,,5.2809753
Qwen3-8B,PUPA,Baseline,137477.5,155269.5,,0.113783325
Qwen3-8B,PUPA,FSPO,,,320.0,
Unknown,UNKNOWN,GEPA,,,2000.0,
google/gemma-1.1-2b-it,MNLI,cs_0.1,13550000.0,,24000.0,
google/gemma-1.1-2b-it,MRPC,cs_0.1,6686000.0,,16000.0,
google/gemma-1.1-2b-it,QNLI,cs_0.1,5668000.0,,16000.0,
google/gemma-1.1-2b-it,RTE,cs_0.1,8676000.0,,16000.0,
google/gemma-1.1-2b-it,SNLI,cs_0.1,11216000.0,,24000.0,
google/gemma-1.1-2b-it,SST2,cs_0.0,7178000.0,,16000.0,
google/gemma-1.1-2b-it,SST2,cs_0.1,7178000.0,,16000.0,
google/gemma-1.1-7b-it,ACTIVE_TO_PASSIVE,Unknown,,,12480.0,
google/gemma-1.1-7b-it,ANTONYMS,Unknown,,,12480.0,
google/gemma-1.1-7b-it,CAUSAL_JUDGMENT,Unknown,,,4500.0,
google/gemma-1.1-7b-it,CAUSE_AND_EFFECT,Unknown,,,10140.0,
google/gemma-1.1-7b-it,COMMON_CONCEPT,Unknown,,,6630.0,
google/gemma-1.1-7b-it,DIFF,Unknown,,,12480.0,
google/gemma-1.1-7b-it,DISAMBIGUATION_QA,Unknown,,,4500.0,
google/gemma-1.1-7b-it,EPISTEMIC_REASONING,Unknown,,,4500.0,
google/gemma-1.1-7b-it,FIRST_WORD_LETTER,Unknown,,,12480.0,
google/gemma-1.1-7b-it,HYPERBATON,Unknown,,,4500.0,
google/gemma-1.1-7b-it,IMPLICATURES,Unknown,,,4500.0,
google/gemma-1.1-7b-it,INFORMAL_TO_FORMAL,Unknown,,,5850.0,
google/gemma-1.1-7b-it,LARGER_ANIMAL,Unknown,,,12480.0,
google/gemma-1.1-7b-it,LETTERS_LIST,Unknown,,,12480.0,
google/gemma-1.1-7b-it,LOGICAL_FALLACY_DETECTION,Unknown,,,4500.0,
google/gemma-1.1-7b-it,MNLI,cs_0.0,13915500.0,,24000.0,
google/gemma-1.1-7b-it,MNLI,cs_0.1,13474666.666666666,,24000.0,
google/gemma-1.1-7b-it,MOVIE_RECOMMENDATION,Unknown,,,4500.0,
google/gemma-1.1-7b-it,MRPC,cs_0.0,6830500.0,,16000.0,
google/gemma-1.1-7b-it,MRPC,cs_0.1,6374000.0,,16000.0,
google/gemma-1.1-7b-it,NAVIGATE,Unknown,,,4500.0,
google/gemma-1.1-7b-it,NEGATION,Unknown,,,12480.0,
google/gemma-1.1-7b-it,NUM_TO_VERBAL,Unknown,,,12480.0,
google/gemma-1.1-7b-it,ORTHOGRAPHY_STARTS_WITH,Unknown,,,12480.0,
google/gemma-1.1-7b-it,PRESUPPOSITIONS_AS_NLI,Unknown,,,4500.0,
google/gemma-1.1-7b-it,QNLI,cs_0.0,7557000.0,,16000.0,
google/gemma-1.1-7b-it,QNLI,cs_0.1,7254000.0,,16000.0,
google/gemma-1.1-7b-it,RHYMES,Unknown,,,12480.0,
google/gemma-1.1-7b-it,RTE,cs_0.0,9101000.0,,16000.0,
google/gemma-1.1-7b-it,RTE,cs_0.1,9322666.666666666,,16000.0,
google/gemma-1.1-7b-it,RUIN_NAMES,Unknown,,,4500.0,
google/gemma-1.1-7b-it,SECOND_WORD_LETTER,Unknown,,,12480.0,
google/gemma-1.1-7b-it,SENTENCE_SIMILARITY,Unknown,,,12480.0,
google/gemma-1.1-7b-it,SENTIMENT,Unknown,,,12480.0,
google/gemma-1.1-7b-it,SINGULAR_TO_PLURAL,Unknown,,,12480.0,
google/gemma-1.1-7b-it,SNARKS,Unknown,,,4500.0,
google/gemma-1.1-7b-it,SNLI,cs_0.0,14075500.0,,24000.0,
google/gemma-1.1-7b-it,SNLI,cs_0.1,14258666.666666666,,24000.0,
google/gemma-1.1-7b-it,SPORTS_UNDERSTANDING,Unknown,,,4500.0,
google/gemma-1.1-7b-it,SST2,cs_0.0,9261200.0,,16000.0,
google/gemma-1.1-7b-it,SST2,cs_0.1,9038500.0,,16000.0,
google/gemma-1.1-7b-it,SUM,Unknown,,,12480.0,
google/gemma-1.1-7b-it,SYNONYMS,Unknown,,,12480.0,
google/gemma-1.1-7b-it,TAXONOMY_ANIMAL,Unknown,,,12480.0,
google/gemma-1.1-7b-it,TRANSLATION_EN-DE,Unknown,,,12480.0,
google/gemma-1.1-7b-it,TRANSLATION_EN-ES,Unknown,,,12480.0,
google/gemma-1.1-7b-it,TRANSLATION_EN-FR,Unknown,,,12480.0,
google/gemma-1.1-7b-it,WINOWHY,Unknown,,,4500.0,
google/gemma-1.1-7b-it,WORD_IN_CONTEXT,Unknown,,,12480.0,
openrouter/openai/gpt-4o-mini,HOTPOTQA,FSPO,,,320.0,
openrouter/openai/gpt-4o-mini,PUPA,FSPO,2548255.5,701310.0,320.0,0.803024325
