Method,Rollouts,Runtime_mins,Est_GPU_h,Est_Token_Cost_USD
AlgPrompt,,10.180199556541021,0.16966999260901702,
Baseline,,40.6778947368421,0.6779649122807017,0.6999118666666667
FSPO,2590.846153846154,467.01,7.7835,1.2553947
GEPA,,32.66875,0.5444791666666667,15.891668533333387
GEPA-MERGE,,31.38666666666667,0.5231111111111112,15.228872742857158
MIPROv2-Heavy,,28.303333333333335,0.47172222222222226,12.618849399999965
StablePrompt-PPO,8655.664335664336,22.434405594405593,0.37390675990675987,
StablePrompt-PPO(cs=0),3231.4285714285716,13.508285714285714,0.22513809523809522,
StablePrompt-PPO(cs=0.05),780.0,4.033333333333333,0.06722222222222222,
StablePrompt-PPO(cs=0.1),4852.888888888889,17.15066666666667,0.2858444444444445,
Unknown,,79.01016129032257,1.3168360215053763,
