Dataset,Model,Method,Score_Mean,Score_Std,Rollouts,In_Tokens,Out_Tokens,RER(%),Norm_Cost,RCEI
ABSTRACT_ALGEBRA,Qwen/Qwen3-0.6B,AlgPrompt,27.666667103767384,2.0816668775494156,,,,,1.0,
ABSTRACT_ALGEBRA,Qwen/Qwen3-0.6B-Base,AlgPrompt,21.99999988079071,,,,,,1.0,
ABSTRACT_ALGEBRA,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),31.49999976158142,0.7071061068369714,600.0,323100.0,,-2.852853726316842,600.0,-1.0268892760690702
ABSTRACT_ALGEBRA,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.1),36.00000143051147,,600.0,329850.0,,3.903905570204426,600.0,1.405217073643965
ABSTRACT_ALGEBRA,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),33.50000083446503,0.7071061068369764,780.0,358200.0,,0.1501509026729712,780.0,0.05191770094010329
ABSTRACT_ALGEBRA,google/gemma-1.1-7b-it,AlgPrompt,33.40000033378601,2.07364445726481,,,,,1.0,
ABSTRACT_ALGEBRA,google/gemma-3-1b-it,AlgPrompt,25.999999046325676,,,,,,1.0,
ABSTRACT_ALGEBRA,jingyaogong/MiniMind2,AlgPrompt,32.00000027815501,3.4641017527887854,,,,,1.0,
ACTIVE_TO_PASSIVE,google/gemma-1.1-2b-it,AlgPrompt,93.75,,,,,,1.0,
ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,AlgPrompt,99.5,0.7071067811865476,,,,,1.0,
ACTIVE_TO_PASSIVE,google/gemma-1.1-7b-it,StablePrompt-PPO,99.33333333333333,0.816496580927726,8960.0,,,-33.33333333333428,8960.0,-8.433890590471433
AIME-2025,GPT-4.1-mini,Baseline,47.498333333333335,5.586558272615915,,5848.5,85752.5,,1.0,
AIME-2025,GPT-4.1-mini,Unknown,48.0,1.885618083164125,,,,,,
AIME-2025,GPT-4.1-mini,MIPROv2-Heavy,40.223333333333336,6.337951824787985,,6351683.333333333,4066098.3333333335,,,
AIME-2025,GPT-4.1-mini,GEPA-MERGE,48.335,2.354665581351202,,4421762.5,9220144.5,,,
AIME-2025,GPT-4.1-mini,GEPA,50.0,,,4900408.0,9591800.0,,,
AIME-2025,GPT-4.1-mini,FSPO,50.0,2.8284271247461903,2700.0,,,4.764928097520711,2700.0,1.3886397435593876
AIME-2025,Qwen3-8B,Baseline,49.16666666666666,12.309045454461524,,25944.0,1375227.0,,1.0,
AIME-2025,Qwen3-8B,Unknown,67.33333333333333,1.0886621079036367,,,,,,
AIME-2025,Qwen3-8B,MIPROv2-Heavy,58.0,,,2331238.0,17915438.0,,,
AIME-2025,Qwen3-8B,FSPO,47.465999999999994,16.00969175218561,3780.0,,,-3.3455737704917956,3780.0,-0.9351730088225549
