subset,metric,StablePrompt-PPO_pct,RAE_30ep_mean_pct,RAE_30ep_std_pct,RAE_100ep_s6_pct,RAE_200ep_s6_pct,GFLOWPO_mean_pct,GFLOWPO_std_pct
Antonyms,EM,77.00,71.33,2.08,68.00,72.00,74.33,2.30
Word in Context,EM,52.00,55.33,7.09,50.00,50.00,61.00,4.35
Rhymes,EM,8.00,5.33,4.04,3.00,0.00,8.67,2.08
Num to Verbal,EM,64.00,56.00,1.00,77.00,79.00,97.67,1.53
Cause and Effect,EM,60.00,50.67,10.07,60.00,60.00,81.33,11.54
Larger Animal,EM,80.00,71.67,15.50,79.00,86.00,92.67,0.58
Second Word Letter,EM,16.00,14.00,0.00,14.00,14.00,27.33,3.51
Taxonomy Animal,Exact Set,79.00,46.33,8.08,79.00,79.00,93.67,8.39
Negation,EM,73.00,76.67,4.04,76.00,81.00,87.00,0.00
Common Concept,F1,16.88,16.88,0.00,16.88,16.88,13.67,3.21
Diff,EM,2.00,2.00,0.00,2.00,2.00,100.00,0.00
Translation en-es,EM,44.00,29.33,5.69,29.00,36.00,40.33,3.79
Orthography Starts With,Exact Set,9.00,14.33,1.15,30.00,24.00,15.00,1.00
Sentiment,EM,84.00,87.33,1.15,87.00,87.00,91.67,2.08
Informal to Formal,F1,38.35,62.07,32.92,45.30,44.83,47.33,2.08
Sum,EM,2.00,7.67,8.96,2.00,2.00,100.00,0.00
Singular to Plural,EM,96.00,93.67,4.16,94.00,93.00,98.33,1.53
Active to Passive,EM,99.00,76.47,39.89,98.00,99.00,99.00,0.00
Translation en-de,EM,29.00,16.33,12.90,26.00,25.00,32.00,2.65
Sentence Similarity,EM,30.00,25.33,2.08,27.00,24.00,38.67,2.52
Translation en-fr,EM,28.00,29.67,4.04,23.00,26.00,40.33,1.53
Letters List,EM,69.00,54.67,7.09,70.00,73.00,95.33,2.08
First Word Letter,EM,97.00,89.67,3.06,97.00,93.00,99.00,1.00
Synonyms,Contains,16.00,10.67,1.53,14.00,12.00,24.67,5.13
Average,--,48.72,44.31,,48.63,49.11,64.96,
