dataset,count,mean,std
US_FOREIGN_POLICY,5,77.6,1.342
MARKETING,5,76.581,1.43
WORLD_RELIGIONS,5,73.567,3.022
HIGH_SCHOOL_WORLD_HISTORY,5,71.477,1.059
HIGH_SCHOOL_PSYCHOLOGY,5,70.679,3.852
HIGH_SCHOOL_BIOLOGY,5,69.161,4.313
HIGH_SCHOOL_GOVERNMENT_AND_POLITICS,5,69.119,5.202
COMPUTER_SECURITY,5,68.8,2.049
MANAGEMENT,5,67.961,1.373
MISCELLANEOUS,5,66.82,3.833
INTERNATIONAL_LAW,5,66.281,2.703
LOGICAL_FALLACIES,5,66.258,2.254
HIGH_SCHOOL_EUROPEAN_HISTORY,5,66.061,1.134
HIGH_SCHOOL_GEOGRAPHY,5,64.747,9.24
COLLEGE_BIOLOGY,5,63.194,3.804
PUBLIC_RELATIONS,5,61.455,3.556
HIGH_SCHOOL_US_HISTORY,5,60.49,2.829
JURISPRUDENCE,5,60.0,4.648
PREHISTORY,5,59.753,1.187
HIGH_SCHOOL_MICROECONOMICS,5,58.739,7.974
HIGH_SCHOOL_COMPUTER_SCIENCE,5,58.6,4.775
MORAL_DISPUTES,5,57.803,2.609
NUTRITION,5,57.451,3.715
HUMAN_SEXUALITY,5,55.878,6.879
HIGH_SCHOOL_MACROECONOMICS,5,55.436,1.998
PHILOSOPHY,5,54.405,3.314
CLINICAL_KNOWLEDGE,5,54.34,2.911
BUSINESS_ETHICS,5,54.0,2.0
ANATOMY,5,53.481,2.185
SECURITY_STUDIES,5,53.143,3.855
SOCIOLOGY,5,52.537,5.502
MEDICAL_GENETICS,5,52.2,2.28
ASTRONOMY,5,51.842,3.762
PROFESSIONAL_PSYCHOLOGY,5,51.765,2.889
HUMAN_AGING,5,51.749,5.479
HIGH_SCHOOL_STATISTICS,5,50.37,2.301
COLLEGE_CHEMISTRY,5,49.4,1.673
VIROLOGY,5,49.036,1.682
ELECTRICAL_ENGINEERING,5,48.966,7.396
COLLEGE_MEDICINE,5,48.786,1.855
CONCEPTUAL_PHYSICS,5,48.255,2.528
HIGH_SCHOOL_CHEMISTRY,5,47.389,5.76
PROFESSIONAL_MEDICINE,5,46.765,2.669
PROFESSIONAL_ACCOUNTING,5,43.333,2.344
PROFESSIONAL_LAW,5,39.922,1.158
COLLEGE_COMPUTER_SCIENCE,5,39.8,2.864
MACHINE_LEARNING,5,39.286,3.627
ELEMENTARY_MATHEMATICS,5,37.407,1.207
GLOBAL_FACTS,5,36.2,1.643
HIGH_SCHOOL_PHYSICS,5,34.172,3.99
ECONOMETRICS,5,33.86,4.368
HIGH_SCHOOL_MATHEMATICS,5,33.63,1.444
COLLEGE_MATHEMATICS,5,33.6,1.949
ABSTRACT_ALGEBRA,5,33.2,1.924
COLLEGE_PHYSICS,5,32.745,2.649
FORMAL_LOGIC,5,32.222,1.911
MORAL_SCENARIOS,5,28.559,2.825
